threshold,precision,recall,f1,tn,fp,fn,tp
0.51,0.8526315789473684,0.826530612244898,0.8393782383419689,56850,14,17,81
0.52,0.8526315789473684,0.826530612244898,0.8393782383419689,56850,14,17,81
0.53,0.8526315789473684,0.826530612244898,0.8393782383419689,56850,14,17,81
0.54,0.8526315789473684,0.826530612244898,0.8393782383419689,56850,14,17,81
0.55,0.8526315789473684,0.826530612244898,0.8393782383419689,56850,14,17,81
0.56,0.8526315789473684,0.826530612244898,0.8393782383419689,56850,14,17,81
0.5700000000000001,0.8526315789473684,0.826530612244898,0.8393782383419689,56850,14,17,81
0.5800000000000001,0.8526315789473684,0.826530612244898,0.8393782383419689,56850,14,17,81
0.59,0.8526315789473684,0.826530612244898,0.8393782383419689,56850,14,17,81
0.6,0.8526315789473684,0.826530612244898,0.8393782383419689,56850,14,17,81
0.61,0.8617021276595744,0.826530612244898,0.84375,56851,13,17,81
0.62,0.8709677419354839,0.826530612244898,0.8481675392670157,56852,12,17,81
0.63,0.8709677419354839,0.826530612244898,0.8481675392670157,56852,12,17,81
0.64,0.8709677419354839,0.826530612244898,0.8481675392670157,56852,12,17,81
0.65,0.8709677419354839,0.826530612244898,0.8481675392670157,56852,12,17,81
0.66,0.8804347826086957,0.826530612244898,0.8526315789473684,56853,11,17,81
0.67,0.8804347826086957,0.826530612244898,0.8526315789473684,56853,11,17,81
0.68,0.8804347826086957,0.826530612244898,0.8526315789473684,56853,11,17,81
0.6900000000000001,0.8804347826086957,0.826530612244898,0.8526315789473684,56853,11,17,81
0.7000000000000001,0.8901098901098901,0.826530612244898,0.8571428571428571,56854,10,17,81
0.7100000000000001,0.8901098901098901,0.826530612244898,0.8571428571428571,56854,10,17,81
0.72,0.8901098901098901,0.826530612244898,0.8571428571428571,56854,10,17,81
0.73,0.8901098901098901,0.826530612244898,0.8571428571428571,56854,10,17,81
0.74,0.8901098901098901,0.826530612244898,0.8571428571428571,56854,10,17,81
0.75,0.8901098901098901,0.826530612244898,0.8571428571428571,56854,10,17,81
0.76,0.8901098901098901,0.826530612244898,0.8571428571428571,56854,10,17,81
0.77,0.8888888888888888,0.8163265306122449,0.851063829787234,56854,10,18,80
0.78,0.8888888888888888,0.8163265306122449,0.851063829787234,56854,10,18,80
0.79,0.8876404494382022,0.8061224489795918,0.8449197860962567,56854,10,19,79
0.8,0.8876404494382022,0.8061224489795918,0.8449197860962567,56854,10,19,79
0.81,0.8876404494382022,0.8061224489795918,0.8449197860962567,56854,10,19,79
0.8200000000000001,0.8876404494382022,0.8061224489795918,0.8449197860962567,56854,10,19,79
0.8300000000000001,0.8863636363636364,0.7959183673469388,0.8387096774193549,56854,10,20,78
0.8400000000000001,0.8863636363636364,0.7959183673469388,0.8387096774193549,56854,10,20,78
0.85,0.896551724137931,0.7959183673469388,0.8432432432432433,56855,9,20,78
0.86,0.8953488372093024,0.7857142857142857,0.8369565217391305,56855,9,21,77
0.87,0.8953488372093024,0.7857142857142857,0.8369565217391305,56855,9,21,77
0.88,0.8953488372093024,0.7857142857142857,0.8369565217391305,56855,9,21,77
0.89,0.8953488372093024,0.7857142857142857,0.8369565217391305,56855,9,21,77
0.9,0.8953488372093024,0.7857142857142857,0.8369565217391305,56855,9,21,77
0.91,0.8953488372093024,0.7857142857142857,0.8369565217391305,56855,9,21,77
0.92,0.8953488372093024,0.7857142857142857,0.8369565217391305,56855,9,21,77
0.93,0.8953488372093024,0.7857142857142857,0.8369565217391305,56855,9,21,77
0.9400000000000001,0.9058823529411765,0.7857142857142857,0.8415300546448088,56856,8,21,77
0.9500000000000001,0.9390243902439024,0.7857142857142857,0.8555555555555555,56859,5,21,77
0.9600000000000001,0.9390243902439024,0.7857142857142857,0.8555555555555555,56859,5,21,77
0.97,0.9506172839506173,0.7857142857142857,0.8603351955307262,56860,4,21,77
0.98,0.9506172839506173,0.7857142857142857,0.8603351955307262,56860,4,21,77
0.99,0.9620253164556962,0.7755102040816326,0.8587570621468926,56861,3,22,76
